From Date,To Date,Toluene,Temp,RH,WS,WD
01-11-2021 00:00,01-11-2021 00:15,0.9,None,83.5,0.6,207.8
01-11-2021 00:15,01-11-2021 00:30,0.9,None,82.6,0.4,224.7
01-11-2021 00:30,01-11-2021 00:45,1.2,None,84.9,0.1,333.4
01-11-2021 00:45,01-11-2021 01:00,1.9,None,87.1,5.5,135.4
01-11-2021 01:00,01-11-2021 01:15,1.8,None,87.1,6,136.2
01-11-2021 01:15,01-11-2021 01:30,1.5,None,87.1,7.4,136.4
01-11-2021 01:30,01-11-2021 01:45,1.4,None,87.1,7.3,136.4
01-11-2021 01:45,01-11-2021 02:00,1.3,None,87.1,7.4,136.2
01-11-2021 02:00,01-11-2021 02:15,1.5,None,87.1,7.4,136.3
01-11-2021 02:15,01-11-2021 02:30,2.3,None,87.1,7.4,136.2
01-11-2021 02:30,01-11-2021 02:45,2.9,None,87.1,7.4,136.3
01-11-2021 02:45,01-11-2021 03:00,2.4,None,87.1,7.4,136.2
01-11-2021 03:00,01-11-2021 03:15,2.8,None,87.1,7.4,136.3
01-11-2021 03:15,01-11-2021 03:30,2.6,None,87.1,7.4,136.3
01-11-2021 03:30,01-11-2021 03:45,2.6,None,87.1,7.4,136.3
01-11-2021 03:45,01-11-2021 04:00,2.9,None,87.1,7.4,136.2
01-11-2021 04:00,01-11-2021 04:15,3.3,None,83.6,7.4,136.3
01-11-2021 04:15,01-11-2021 04:30,3.6,None,82.5,7.4,136.3
01-11-2021 04:30,01-11-2021 04:45,4.2,None,83.3,7.4,136.2
01-11-2021 04:45,01-11-2021 05:00,4.5,None,83.3,7.4,136.3
01-11-2021 05:00,01-11-2021 05:15,4.5,None,83.4,7.4,136.2
01-11-2021 05:15,01-11-2021 05:30,5.1,None,83.3,7.4,136.3
01-11-2021 05:30,01-11-2021 05:45,5.2,None,83.1,7.4,136.3
01-11-2021 05:45,01-11-2021 06:00,4.8,None,82.8,7.4,136.2
01-11-2021 06:00,01-11-2021 06:15,4.5,None,83.2,7.4,136.3
01-11-2021 06:15,01-11-2021 06:30,4.8,None,83.1,7.4,136.3
01-11-2021 06:30,01-11-2021 06:45,4.7,None,82.7,7.4,136.3
01-11-2021 06:45,01-11-2021 07:00,4.9,None,82.5,7.4,136.2
01-11-2021 07:00,01-11-2021 07:15,5.7,None,83,7.4,136.3
01-11-2021 07:15,01-11-2021 07:30,5.6,None,83.4,7.3,136.2
01-11-2021 07:30,01-11-2021 07:45,5,None,81.2,3.5,132.4
01-11-2021 07:45,01-11-2021 08:00,5.1,None,77.3,6,135.5
